name,no,sex,byear,party,votes
劉文晏,1,男,1976,無黨籍及未經政黨推薦,194
李柏毅,2,男,1977,民主進步黨,1949
白喬茵,3,女,1987,中國國民黨,18582
陳善慧,4,男,1965,無黨籍及未經政黨推薦,17404
吳佩蓉,5,女,1976,無黨籍及未經政黨推薦,868
李眉蓁,6,女,1979,中國國民黨,14572
劉宥廷,7,男,1985,無黨籍及未經政黨推薦,528
謝天助,8,男,1936,無黨籍及未經政黨推薦,312
李雅慧,9,女,1975,民主進步黨,12087
李雅芬,10,女,1970,中國國民黨,14281
蘇博廷,11,男,1981,無黨籍及未經政黨推薦,412
鄭侑青,12,女,1989,時代力量,3707
陳麗珍,13,女,1966,中國國民黨,15597
柳淑芳,14,女,1960,無黨籍及未經政黨推薦,635
莊貽量,15,男,1973,台灣民眾黨,5887
黃文志,16,男,1982,民主進步黨,15298
黃偵琳,17,女,1974,民主進步黨,11480
陳子瑜,18,男,1982,台灣基進,5952
陳玫娟,19,女,1962,中國國民黨,12005
蘇柏銓,20,男,1986,無黨籍及未經政黨推薦,1091
